url,name,reais,cents
https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=ay0BTrqaDo4R%2F6K5UZXAQrdiZWaiCxR7139Rxi8b58xc5%2FDGIqsVnHoYIM9uhXNxKrvrTmzCe71iUa5LD5764Ryz0FtkI%2FEZ01pKA7v6wQjiB032IfvyyKif2DnoNRokXDdULXEHb1UF3Aqss0uY%2FeJe5Z4spvcCvpO%2BVBnVrS19bwnwhlRg8pwbxbKTYtaULlp5cgkvJWU8y70%2Bwrro3ow2IDA%2B3%2BpjsLBtUXJFE89FS592zcOfcELanKIWzySO6A8F5HGAGt6yDz79XkeHDPK%2F7jXNiudDN5m6O1aJQIwNtqpD6t4pqQ828%2BLlo1Krpztjg5J5pjoI2ZvIYyRXp93bOsb%2BxG5ZGjrK%2B3Z6z14%2FI8Gn5yS1ODm3%2F06Nu1buoR3jNMPajv4X7Hjkjs7YrXIyfHAnnX86EjWaq35601yVY0Vwvq1PlTr8mZjZgWys69uS5J%2BAqhqhjny82%2B1psXY3qGnI%2Fie4nq5J%2BJEv6xyQUeOdj%2FAaAfzWN%2F497BU20Zp%2Bc13kxRCWui2n%2BWemELDLlM4Sazp7ZNNYJZGRJQFayHoCwfF1GYo5Bg%2FPFlpoYaqwcQsE4CPStoUqgVMc87ViX%2B%2BVq9VvFAnTLlj0Fv8r4M7ZjLeTi4I9biIYCC%2BLCDBzhK959v8BxR4rvq2f9WNj4ZHmfbknHnj2vwjLiXzNz7fTl%2FnLTSYj1kyn4vBN3eI6Oae76eiQ1WJsBZR1JP0%3D&e=mclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Frolling-layout%2B20432%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176&rb=x,Police -110ml - 10 Unid - Spray Defesa Pessoal - Pimenta,499,99
https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=Pc4zR7XVzpN2Pt3R8zjntnTtINZPXfIgsQBEl8JAMszhdZxPykGKLmHwKC6ZYMlYu0UEOoZZkcrEWEb4QDLo5Mq9ddGbzWUgxi0LMPq31zlzIt2dXorAbiRJA%2BxiLblwZScUGOmnHQVUhRR9ijxTZuf1lK7X8EEET9tCz3nWSfyntbWFPtF3CmZKSAxnxBXbg%2FhWEeUuAMJYC5A3vdEBA0TwihL9wPwDHhCcasQd7Tv7IwdSgr8HJAP0fcos6IMSvDofsab4aRDhpyloahk8NSXHSWxE1zslW2KDHsy%2Bg%2Ba2Jsu7n0TGhOuy3U0U5cyrmS3jBbM2oRTB1G5PJn%2F3rJl7jCgbiHVuJFNBLHyU79JFMpZuJDvvhNWEuD43qN8%2BO7dUPaF22ebcDlXn%2FAAKAdjhLiJIyFTPb6KKDNCTNvjDqnOjOl5ouGxfLvPd3DrHmXakimQ%2FsDXCtT6%2FAwH%2BGUuWFUWSC0I5hSZdaZyV0rcLl1bd3JHkEucaQlb8G93jTduZSirbsgMlhq1Ozrn4ygMA8o0PDtyQ3Kx7FEkg4f%2FguzLb9aGSKqcYFtvwMlywHTauXfoEUhhoEWWbm81fNsFxbjhKwBfNxnJIy0NcD3YfEe%2BSpRRmMMsO3zfyleu0jJH0Ay3sSXELltaZl138nTIstag%2B67mX1ghAtE1lWyjZSaT33D4SZgkxRdXT3Rn%2F9brTpRRnm6DK9F4diIUJohCYHM2oDFEupJCC&e=mclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Frolling-layout%2B20432%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176&rb=x,Kit 5 Spray De Pimenta 60 Ml Defesa Pessoal Homem E Mulher ,245,00
https://produto.mercadolivre.com.br/MLB-1292032921-spray-pimenta-fortissimo-de-bolso-20ml-defesa-da-mulher-_JM#position=3&search_layout=stack&type=item&tracking_id=36b71dcf-0a00-443b-8ca9-c1a039c67e1f,Spray Pimenta Fortissimo De Bolso 20ml Defesa Da Mulher ,48,51
https://produto.mercadolivre.com.br/MLB-1276549708-porta-gas-de-pimenta-em-nylon-padro-policia-commando-_JM#position=4&search_layout=stack&type=item&tracking_id=36b71dcf-0a00-443b-8ca9-c1a039c67e1f,Porta Gás De Pimenta Em Nylon Padrão Polícia Commando,59,90
https://produto.mercadolivre.com.br/MLB-3294003115-spray-defesa-pessoal-em-nevoa-poly-defensor-defende-ela-50g-_JM#position=5&search_layout=stack&type=item&tracking_id=36b71dcf-0a00-443b-8ca9-c1a039c67e1f,Spray Defesa Pessoal Em Névoa Poly Defensor Defende Ela 50g,135,90
https://produto.mercadolivre.com.br/MLB-3342610975-spray-defesa-pessoal-de-gengibre-p-proteco-contra-agressoe-_JM#position=6&search_layout=stack&type=item&tracking_id=36b71dcf-0a00-443b-8ca9-c1a039c67e1f,Spray Defesa Pessoal De Gengibre P/ Proteção Contra Agressõe,94,90
https://produto.mercadolivre.com.br/MLB-3338225285-spray-pimenta-police-super-forte-110ml-_JM#position=7&search_layout=stack&type=item&tracking_id=36b71dcf-0a00-443b-8ca9-c1a039c67e1f,Spray Pimenta Police Super Forte 110ml,46,00
https://produto.mercadolivre.com.br/MLB-1824692204-spray-defesa-pessoal-anl-brasil-50g-em-nevoa-ela-rosa-_JM#position=8&search_layout=stack&type=item&tracking_id=36b71dcf-0a00-443b-8ca9-c1a039c67e1f,Spray Defesa Pessoal Anl Brasil 50g Em Névoa Ela Rosa,94,90
https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=si82GxysFl7j1D8ggODwEMNIcTRKHvHFZUN1AfHZ%2BF1%2FvVikrDJKRfSBpxfMO9nR6GA2fcVfkibeKybgtfZpFuoSK5tWmx0TLCGj%2FmJEmj3l7p%2BRbURpbGAsZngX%2BAs%2FgcYjNKDqJvyO22hyX7x2CiHAKD4TABB7nT4AkIWBnZmAi%2FD2vCwHjpNka7xkJ7NaE8QobGmxJFHBby4BxDs8WjVjXg%2FTYdUvtCpnH8s%2BeRQ0QqL4Nxix63Jc88Pf7XusWZ1JxHPZreYv0vsEarI%2BRVAFLezVLNWXit3HnKorfIsiSLaQv%2FLRTxzkSwdWrsbmCpMA%2BI0uelrMVn5UE5VIU%2B%2Fc71B8elkQDncBIkx9YK2NF6xeAfIDXRjrTKd8x%2BEZvlDOkbNvOao%2BlCFmiyO%2FoSQGwGA01WsxLVYzLROoh8qim%2FGy5zQ6b4TQk2%2FczLJHp3R5s3o63wuoTkQbTnOkCz6%2BiK4djFb93ZEuEusyjpjk%2BxlDSNncyq2RTZvcR0kb9hg9HUbkntmQfE0Ca3c2W4jTQ%2FvsDR71mELLqw7%2BXUQ3OHXrzOmgMrDVf2yUMl8QA3oLsp5we%2BpjyeMDRbzjZp4%2BdC65dl%2FHviEtHoKC%2FhOdVoPprXD4r3Jk09NYe2SzJGPZaisIJqwGe%2BYawV7b6MfNDCmC%2F%2BKz75yoQzt02%2FBhCEgaP9e4LuIhDKY7MMgwpsMaHg7DfNabRMN%2FtWJFAuVAs2gav33hTA%3D%3D&e=mclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Frolling-layout%2B20432%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176&rb=x,Spray De Pimenta 40 Mls Defesa Pessoal Proteja Se Mulher ,49,90
https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=0jS95rX8RZzbOZCywhNs4Om5Cd8zzB%2Bocr8q4PDavkTiLBIxpzFMkPnB4f0hl6qN8h9pnmMRVOSW33JlvajCECrA%2FdrBginf0JqLpKW07fxQtr%2FY1rux8xM4vanSG0F7qIz%2FeHiiN2yhYU7H1XZi2%2FrLMxk29HHuAJsRm8hqto7U4XC4SyMlfWsZ41EuQE%2F5hpFj%2BV57MFoMQp6H1ox1FlhwKigepkaLMqQR%2BAsLwecDYjri2owY%2F7Rj%2FeWpHxPQrsZpTiGMaWOHPR7CoVNdw8Anr%2B9079MO0L%2FqwVPDrV1ldz1cOi5TKRzXchaHauw%2BYmLO3aafOBmhirMWZsocHNVZwjAzGR19oQwWCN6ZsbSHJRSgf1BLesCKNSUYLOffz5Oxsj%2BRDE%2BPq%2BfaoH8F94KEYrwJdzfPnb3gJX%2Fk20tQxM%2FADrCJ%2BP8jemyLM0%2FlxLfLi0Jg1WYYW81UBdncOkQ6HKc%2BrqsqeaXPgmNNHqTV0%2BSL57tPEp6z%2BEF8a1fXztbgCZk2WnFWEX8%2F90BAV2Ka1FDGlM4B0kzlbxNPiI010ZqBKmYVVFbtUCHBpoIdA0aA1hxOvqjFK7l70Mp2jjSrbZlErbhSD6I9umZrUX15FI4HBALLWjSr5V7uMBY3rw005GcLrwznB5gtb3Tpkf3PLk8Nvkm0w3%2F6ibVkS3hg%2F4dKdb8T%2FLQ8IuBjxFKS6SrH4weG4P%2Fom%2B14iZtvi5IxQLetkmDnALv6E9LHUA%3D%3D&e=mclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Frolling-layout%2B20432%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176&rb=x,Spray De Defesa Pessoal Defende Ela 50g Sem Pimenta Liberado,99,00
